时间,开盘,最高,最低,收盘,成交量,成交额
2026-05-28 09:31:00,53.26,53.26,53.26,53.26,328000,17469279.9014
2026-05-28 09:32:00,53.3,53.38,53.23,53.32,527400,28112434.0527
2026-05-28 09:33:00,53.3,53.32,53.18,53.19,616400,32826829.999
2026-05-28 09:34:00,53.18,53.25,53.05,53.06,805000,42780518.0059
2026-05-28 09:35:00,53.06,53.09,53.01,53.04,892800,47354001.9971
2026-05-28 09:36:00,53.04,53.11,53.01,53.1,686500,36415522.0117
2026-05-28 09:37:00,53.1,53.1,53.04,53.06,557100,29564832.0469
2026-05-28 09:38:00,53.06,53.16,53.04,53.13,593000,31476507.0098
2026-05-28 09:39:00,53.12,53.15,53.03,53.03,535900,28443489.0381
2026-05-28 09:40:00,53.03,53.04,52.91,52.99,2037300,107931707.4346
2026-05-28 09:41:00,52.98,53.06,52.95,52.97,528000,27980279.0693
2026-05-28 09:42:00,52.98,52.99,52.95,52.97,456100,24158232.0039
2026-05-28 09:43:00,52.97,53.06,52.96,53.01,342200,18138898.9961
2026-05-28 09:44:00,53.02,53.08,53.0,53.01,202200,10723642.9912
2026-05-28 09:45:00,53.01,53.03,52.97,53.02,347601,18421845.0041
2026-05-28 09:46:00,53.02,53.06,53.0,53.04,284500,15085752.9463
2026-05-28 09:47:00,53.04,53.07,52.99,53.01,344700,18274062.9082
2026-05-28 09:48:00,53.02,53.05,52.98,52.98,264400,14012288.0244
2026-05-28 09:49:00,52.98,53.02,52.98,52.99,340700,18054354.0313
2026-05-28 09:50:00,52.99,53.02,52.97,52.97,269000,14254288.0635
2026-05-28 09:51:00,52.97,52.98,52.94,52.95,501500,26557232.0
2026-05-28 09:52:00,52.95,52.95,52.92,52.92,293500,15536972.9961
2026-05-28 09:53:00,52.93,52.93,52.85,52.86,985000,52097906.9512
2026-05-28 09:54:00,52.86,52.87,52.82,52.83,390600,20640709.0449
2026-05-28 09:55:00,52.82,52.83,52.75,52.76,1030900,54434789.0039
2026-05-28 09:56:00,52.76,52.82,52.75,52.8,683300,36071438.9805
2026-05-28 09:57:00,52.79,52.81,52.78,52.79,380800,20104277.0
2026-05-28 09:58:00,52.79,52.83,52.78,52.83,734100,38761904.002
2026-05-28 09:59:00,52.82,52.97,52.82,52.92,461500,24418635.9639
2026-05-28 10:00:00,52.93,52.94,52.9,52.94,198800,10521729.9551
2026-05-28 10:01:00,52.93,52.99,52.91,52.93,374000,19805393.0105
2026-05-28 10:02:00,52.92,52.93,52.86,52.87,248200,13129074.9941
2026-05-28 10:03:00,52.87,52.89,52.85,52.86,249900,13209700.0
2026-05-28 10:04:00,52.86,52.9,52.85,52.88,250800,13260383.0
2026-05-28 10:05:00,52.88,52.9,52.85,52.85,209800,11091958.0
2026-05-28 10:06:00,52.86,52.88,52.84,52.84,252200,13331233.0
2026-05-28 10:07:00,52.85,52.85,52.79,52.79,461700,24379694.0156
2026-05-28 10:08:00,52.8,52.8,52.78,52.8,255800,13504010.0
2026-05-28 10:09:00,52.8,52.85,52.79,52.83,206500,10907401.0459
2026-05-28 10:10:00,52.84,52.85,52.81,52.81,259100,13686091.0283
2026-05-28 10:11:00,52.82,52.88,52.8,52.86,338000,17860823.0352
2026-05-28 10:12:00,52.86,52.94,52.84,52.88,426500,22557144.9648
2026-05-28 10:13:00,52.88,52.88,52.8,52.8,282100,14901176.0098
2026-05-28 10:14:00,52.81,52.88,52.8,52.83,336200,17763340.0439
2026-05-28 10:15:00,52.83,52.85,52.79,52.79,416300,21985084.0303
2026-05-28 10:16:00,52.79,52.82,52.76,52.78,414500,21878199.0
2026-05-28 10:17:00,52.81,52.81,52.77,52.78,194300,10256660.0
2026-05-28 10:18:00,52.78,52.8,52.76,52.78,402200,21223756.9209
2026-05-28 10:19:00,52.78,52.8,52.76,52.77,200600,10587036.9961
2026-05-28 10:20:00,52.77,52.78,52.68,52.72,1039100,54788320.957
2026-05-28 10:21:00,52.71,52.75,52.7,52.74,737300,38865781.0371
2026-05-28 10:22:00,52.75,52.76,52.73,52.73,235200,12404701.041
2026-05-28 10:23:00,52.73,52.79,52.72,52.76,280500,14794660.0029
2026-05-28 10:24:00,52.77,52.78,52.75,52.77,158900,8384735.9521
2026-05-28 10:25:00,52.76,52.77,52.75,52.76,165300,8721212.958
2026-05-28 10:26:00,52.76,52.76,52.68,52.68,424800,22391743.0117
2026-05-28 10:27:00,52.68,52.72,52.68,52.7,244600,12888134.0
2026-05-28 10:28:00,52.71,52.71,52.69,52.7,249300,13138099.0
2026-05-28 10:29:00,52.7,52.7,52.68,52.69,259100,13651854.0
2026-05-28 10:30:00,52.69,52.73,52.68,52.72,293500,15469062.0
2026-05-28 10:31:00,52.71,52.74,52.71,52.73,137800,7265655.002
2026-05-28 10:32:00,52.73,52.74,52.66,52.66,518300,27310929.9922
2026-05-28 10:33:00,52.66,52.67,52.57,52.59,884600,46538894.0557
2026-05-28 10:34:00,52.58,52.6,52.52,52.57,842800,44298224.1172
2026-05-28 10:35:00,52.57,52.65,52.56,52.63,302400,15908536.0176
2026-05-28 10:36:00,52.63,52.63,52.59,52.6,312200,16423321.0
2026-05-28 10:37:00,52.6,52.61,52.59,52.6,330800,17398506.0
